"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"bayt-593779292887847651","bayt","https://www.bayt.com/en/lebanon/jobs/software-developer-beirut-5297605/","","Software Developer - Beirut","Adequate Resources","Beirut · Lebanon","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-6644104264792287457","bayt","https://www.bayt.com/en/india/jobs/microsoft-copilot-agent-developer-5296608/","","Microsoft Copilot Agent Developer","Empathy Technologies","Bengaluru · India","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-7611479627097462454","bayt","https://www.bayt.com/en/qatar/jobs/application-developer-5291017/","","Application Developer","Futureway Line","Doha · Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-2430312494324618935","bayt","https://www.bayt.com/en/uae/jobs/fsd-developer-5289297/","","FSD Developer","Synechron","Dubai · UAE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-261887189985225698","bayt","https://www.bayt.com/en/uae/jobs/finacle-developer-5289290/","","finacle developer","Synechron","Dubai · UAE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-785040523807957065","bayt","https://www.bayt.com/en/kuwait/jobs/servicenow-developer-administrator-5282756/","","ServiceNow Developer / Administrator","Diyar United Company","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-755277405520385044","bayt","https://www.bayt.com/en/china/jobs/software-developer-5280397/","","Software Developer","Wuwi Inc","Wenzhou · China","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-8503904546679662977","bayt","https://www.bayt.com/en/saudi-arabia/jobs/it-developer-5252177/","","IT Developer","Wared for water services","Medina · Saudi Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-1995402090458268090","bayt","https://www.bayt.com/en/oman/jobs/software-engineer-oman-5278159/","","Software Engineer- Oman","Diyar United Company","Muscat · Oman","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-7027109962754917683","bayt","https://www.bayt.com/en/kuwait/jobs/senior-it-developer-5270062/","","Senior IT Developer","DSV","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-4148848594273408448","bayt","https://www.bayt.com/en/lebanon/jobs/software-developer-5265869/","","Software Developer","BUTEC S.A.L.","Beirut · Lebanon","","","","","","","","","","","","","","","","","","","","","","","","","","",""
