"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"bayt-5011430711811835295","bayt","https://www.bayt.com/en/lebanon/jobs/software-developer-beirut-5297605/","","Software Developer - Beirut","Adequate Resources","Beirut · Lebanon","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-4446898754200067198","bayt","https://www.bayt.com/en/india/jobs/microsoft-copilot-agent-developer-5296608/","","Microsoft Copilot Agent Developer","Empathy Technologies","Bengaluru · India","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-294820583313964860","bayt","https://www.bayt.com/en/qatar/jobs/application-developer-5291017/","","Application Developer","Futureway Line","Doha · Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-4562096833255310554","bayt","https://www.bayt.com/en/uae/jobs/fsd-developer-5289297/","","FSD Developer","Synechron","Dubai · UAE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-1485011449794696410","bayt","https://www.bayt.com/en/uae/jobs/finacle-developer-5289290/","","finacle developer","Synechron","Dubai · UAE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-7521253834678437185","bayt","https://www.bayt.com/en/kuwait/jobs/servicenow-developer-administrator-5282756/","","ServiceNow Developer / Administrator","Diyar United Company","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-3630540104958837830","bayt","https://www.bayt.com/en/china/jobs/software-developer-5280397/","","Software Developer","Wuwi Inc","Wenzhou · China","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-773144864469443743","bayt","https://www.bayt.com/en/saudi-arabia/jobs/it-developer-5252177/","","IT Developer","Wared for water services","Medina · Saudi Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-6303977358997338249","bayt","https://www.bayt.com/en/oman/jobs/software-engineer-oman-5278159/","","Software Engineer- Oman","Diyar United Company","Muscat · Oman","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-1310769224149079363","bayt","https://www.bayt.com/en/palestine/jobs/golang-and-reactjs-developer-5272549/","","Golang and ReactJs Developer","GGateway for Outsourcing IT","West Bank · Palestine","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-3917112487988197571","bayt","https://www.bayt.com/en/kuwait/jobs/senior-it-developer-5270062/","","Senior IT Developer","DSV","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-8277302182622528927","bayt","https://www.bayt.com/en/lebanon/jobs/software-developer-5265869/","","Software Developer","BUTEC S.A.L.","Beirut · Lebanon","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-5069312633745406294","bayt","https://www.bayt.com/en/qatar/jobs/net-sss-application-developer-5264578/","",".Net SSS Application developer","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-6044786216029170104","bayt","https://www.bayt.com/en/uae/jobs/rpa-developer-5262972/","","RPA Developer","TASC Outsourcing","Dubai · UAE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-2435377066859105967","bayt","https://www.bayt.com/en/usa/jobs/wordpress-developer-5262447/","","WordPress Developer","Power Pulse Marketing","New York · USA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-2642817635977720995","bayt","https://www.bayt.com/en/qatar/jobs/sap-bods-developer-5261448/","","SAP BODS Developer","VINIRMA Consulting Pvt.Ltd","Doha · Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-5652245000869002130","bayt","https://www.bayt.com/en/qatar/jobs/sap-bods-developer-5256566/","","SAP BODS Developer","VINIRMA Consulting Pvt.Ltd","Doha · Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-3736004593028965996","bayt","https://www.bayt.com/en/kuwait/jobs/programmer-5253636/","","Programmer","Confidential Company","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","","","","","","","",""
